Date,Commodity,Price_Rs_kg,Rainfall_mm,Export_Demand_Index,USD_INR_Rate,Is_Harvest_Season
2025-03-18,Cardamom,2418.73,3.0,73.09,83.48,0
2025-03-19,Cardamom,2414.36,0.2,74.17,83.48,0
2025-03-20,Cardamom,2416.45,3.44,76.31,83.49,0
2025-03-21,Cardamom,2427.01,4.75,77.25,83.53,0
2025-03-22,Cardamom,2421.31,4.1,79.59,83.53,0
2025-03-23,Cardamom,,1.14,76.7,83.56,0
2025-03-24,Cardamom,2426.23,3.21,81.45,83.54,0
2025-03-25,Cardamom,2425.64,2.49,78.14,83.58,0
2025-03-26,Cardamom,2421.12,1.2,79.51,83.6,0
2025-03-27,Cardamom,2414.95,3.19,78.03,83.62,0
2025-03-28,Cardamom,2419.5,4.15,78.29,83.65,0
2025-03-29,Cardamom,2432.21,2.41,83.14,83.67,0
2025-03-30,Cardamom,2429.1,2.61,87.58,83.66,0
2025-03-31,Cardamom,2436.67,0.46,86.53,83.61,0
2025-04-01,Cardamom,2435.62,1.58,82.71,83.63,0
2025-04-02,Cardamom,2439.5,1.3,87.01,83.64,0
2025-04-03,Cardamom,2447.97,1.64,86.75,83.63,0
2025-04-04,Cardamom,2452.78,1.94,85.63,83.64,0
2025-04-05,Cardamom,2452.75,4.63,90.08,83.66,0
2025-04-06,Cardamom,2467.52,1.15,93.33,83.62,0
2025-04-07,Cardamom,2464.58,2.79,88.4,83.63,0
2025-04-08,Cardamom,2473.19,4.44,89.83,83.64,0
2025-04-09,Cardamom,2478.28,1.78,93.4,83.64,0
2025-04-10,Cardamom,2482.03,4.82,90.46,83.67,0
2025-04-11,Cardamom,2488.03,4.17,89.18,83.69,0
2025-04-12,Cardamom,2485.1,3.2,84.77,83.7,0
2025-04-13,Cardamom,2492.12,1.72,85.16,83.73,0
2025-04-14,Cardamom,2491.78,1.12,87.97,83.7,0
2025-04-15,Cardamom,2504.38,0.04,89.8,83.67,0
2025-04-16,Cardamom,2514.84,0.63,87.36,83.66,0
2025-04-17,Cardamom,2527.61,0.67,85.75,83.64,0
2025-04-18,Cardamom,2533.24,4.75,83.67,83.63,0
2025-04-19,Cardamom,2529.1,3.05,79.8,83.66,0
2025-04-20,Cardamom,2525.28,2.75,80.31,83.61,0
2025-04-21,Cardamom,2523.58,2.89,81.85,83.65,0
2025-04-22,Cardamom,2530.97,2.7,84.63,83.63,0
2025-04-23,Cardamom,2544.47,0.89,83.74,83.63,0
2025-04-24,Cardamom,2540.87,0.22,82.61,83.66,0
2025-04-25,Cardamom,2553.23,0.52,81.68,83.62,0
2025-04-26,Cardamom,2548.13,0.28,78.52,83.6,0
2025-04-27,Cardamom,,1.43,76.5,83.59,0
2025-04-28,Cardamom,2556.21,1.24,78.84,83.56,0
2025-04-29,Cardamom,2563.86,1.22,77.6,83.55,0
2025-04-30,Cardamom,2560.99,4.55,76.08,83.52,0
2025-05-01,Cardamom,2568.83,0.42,77.84,83.55,0
2025-05-02,Cardamom,2580.86,0.0,82.15,83.53,0
2025-05-03,Cardamom,2584.96,0.79,85.39,83.54,0
2025-05-04,Cardamom,2587.62,4.07,83.45,83.52,0
2025-05-05,Cardamom,2592.99,3.26,83.37,83.55,0
2025-05-06,Cardamom,2599.19,1.38,86.02,83.53,0
2025-05-07,Cardamom,2613.24,2.76,84.93,83.56,0
2025-05-08,Cardamom,2610.55,2.29,87.48,83.59,0
2025-05-09,Cardamom,2618.39,0.44,84.65,83.56,0
2025-05-10,Cardamom,2633.54,3.03,89.04,83.6,0
2025-05-11,Cardamom,2638.6,4.81,93.16,83.58,0
2025-05-12,Cardamom,2652.81,4.78,95.01,83.62,0
2025-05-13,Cardamom,2652.5,1.52,98.74,83.67,0
2025-05-14,Cardamom,2660.66,3.18,99.33,83.64,0
2025-05-15,Cardamom,2664.59,3.64,98.68,83.68,0
2025-05-16,Cardamom,2675.55,4.17,93.94,83.69,0
2025-05-17,Cardamom,2691.98,0.47,97.22,83.66,0
2025-05-18,Cardamom,,0.48,96.71,83.62,0
2025-05-19,Cardamom,2714.13,4.05,93.58,83.6,0
2025-05-20,Cardamom,2715.0,0.76,92.36,83.64,0
